gene,median
CISD1,871.0
UBE2D1,2763.0
TFAM,1575.0
BICC1,2797.0
PHYHIPL,3080.0
ZNF365,5697.0
NRBF2,2496.0
MYPN,5891.0
HNRNPH3,1321.0
TET1,3664.0
DDX50,1009.5
SRGN,4600.0
VPS26A,2033.0
HK1,1468.0
COL13A1,4846.0
ADAMTS14,5830.5
SGPL1,1122.5
CDH23,4685.0
ANAPC16,2462.0
MCU,1898.0
FUT11,3438.0
VCL,2001.5
SAMD8,3353.0
PPIF,401.0
DYDC2,4765.0
TSPAN14,3864.0
GHITM,246.5
CDHR1,5882.0
CCSER2,2946.5
LDB3,5724.0
BMPR1A,3395.0
SNCG,3936.5
MINPP1,1964.0
LIPF,6148.5
FAS,5015.0
PCGF5,3130.0
HECTD2,4218.0
BTAF1,1389.0
NHP2,890.0
HHEX,2009.0
EXOC6,1496.0
HELLS,2632.0
CYP2C18,3914.0
CYP2C9,4339.0
ENTPD1,4241.0
DNTT,5900.0
LCOR,2457.5
FRAT1,3420.0
ZDHHC16,1916.0
C10orf62,4944.0
ZFYVE27,3509.0
GOLGA7B,5221.0
CNNM1,3573.0
WNT8B,5828.5
HIF1AN,2805.0
PAX2,5322.0
SLF2,2500.0
KAZALD1,3209.0
HPS6,2804.0
NOLC1,886.0
GBF1,2173.0
NFKB2,2885.5
FBXL15,3466.0
SUFU,3708.0
TRIM8,1123.0
SFXN2,4302.0
CNNM2,2587.0
TAF5,3835.5
PDCD11,1843.0
SLK,2022.0
GSTO1,265.0
CFAP58,5641.0
SORCS3,6070.5
MXI1,2474.0
SMC3,900.0
ADRA2A,5440.5
TECTB,6014.5
ACSL5,1316.0
CASP7,3196.0
NHLRC2,2496.0
ADRB1,4727.0
TRUB1,2118.0
ATRNL1,5611.0
NANOS1,4055.0
BAG3,1351.0
INPP5F,2862.0
WDR11,2161.0
TACC2,2497.0
PLEKHA1,2361.5
DMBT1,5823.0
HMX2,5362.5
BUB3,1084.0
ZRANB1,1175.0
BCCIP,1937.0
PTPRE,4648.0
GLRX3,1313.0
PWWP2B,3241.0
INPP5A,2879.0
PAOX,3514.0
MTG1,2144.0
LARP4B,1772.5
IDI1,1707.0
ADARB2,5538.0
PITRM1,2481.0
AKR1C2,129.0
TUBAL3,5250.0
ASB13,1840.0
GDI2,246.0
ANKRD16,3051.0
IL15RA,4517.0
PRKCQ,5027.0
SFMBT2,4889.0
ITIH5,5386.0
USP6NL,3589.5
UPF2,1558.0
PHYH,1075.5
BEND7,3817.0
FRMD4A,5134.0
CDNF,4575.0
DCLRE1C,3491.0
NMT2,3524.0
ITGA8,5399.5
TRDMT1,4754.0
HACD1,3415.0
NEBL,5186.0
DNAJC1,1713.0
PIP4K2A,1406.0
C10orf67,5804.0
ARHGAP21,2128.0
ENKUR,4983.0
ABI1,1811.0
ANKRD26,2671.5
YME1L1,909.0
MKX,5848.0
ZNF438,4069.5
ITGB1,496.0
NRP1,2409.0
CUL2,1965.5
GJD4,5932.5
FZD8,4224.0
NAMPT,1859.0
ZNF25,4087.5
RASGEF1A,4397.0
HNRNPF,801.0
ZNF32,3880.5
CXCL12,4892.5
VSTM4,5561.0
OGDHL,3733.0
A1CF,1070.0
CSTF2T,3367.0
CCDC6,1067.0
ANK3,4452.0
RHOBTB1,3494.5
TMEM26,5942.0
RTKN2,4470.5
DNAJC12,4336.0
HERC4,2824.0
ATOH7,5520.0
PBLD,3222.0
